Station,Distance_Km,1st_Class_Rs,2nd_Class_Rs,3rd_Class_Rs
Colombo Fort,0.00,0.00,0.00,0.00
Secretarial,0.67,100.00,50.00,20.00
Kompannavidiya,1.73,100.00,50.00,20.00
Maradana,1.90,100.00,50.00,20.00
Kollupitiya,3.12,100.00,50.00,20.00
Dematagoda,3.67,100.00,50.00,20.00
Baselin Road,3.78,100.00,50.00,20.00
Bambalapitiya,5.13,100.00,50.00,20.00
Cotta Road,5.45,100.00,50.00,20.00
Kelaniya,6.87,100.00,50.00,20.00
Wellawatta,7.25,100.00,50.00,20.00
Narahenpita,7.52,100.00,50.00,20.00
Wanawasala,8.68,100.00,50.00,40.00
Kirulapana,9.26,100.00,50.00,40.00
Dehiwala,9.97,150.00,100.00,40.00
Hunupitiya,10.03,150.00,100.00,40.00
Nugegoda,11.05,150.00,100.00,40.00
Enderamulla,11.70,150.00,100.00,40.00
Mount Lavinia,12.22,150.00,100.00,40.00
Pengiriwatta,12.60,150.00,100.00,40.00
Udahamulla,13.42,150.00,100.00,40.00
Ratmalana,14.02,150.00,100.00,40.00
Horape,14.04,150.00,100.00,40.00
Navinna,15.19,200.00,100.00,40.00
Ragama,15.55,200.00,100.00,40.00
Angulana,15.95,200.00,100.00,60.00
Maharagama,16.36,200.00,100.00,60.00
Peralanda,17.08,200.00,100.00,60.00
Lunawa,17.37,200.00,100.00,60.00
Walpola,18.12,200.00,100.00,60.00
Kandana,18.83,200.00,100.00,60.00
Moratuwa,18.96,200.00,100.00,60.00
Pannipitiya,19.01,200.00,100.00,60.00
Batuwatta,19.08,200.00,100.00,60.00
Kapuwatta,20.56,250.00,150.00,60.00
Bulugahagoda,20.73,250.00,150.00,60.00
Koralawella,20.74,250.00,150.00,60.00
Kottawa,21.31,250.00,150.00,60.00
Ja-Ela,22.15,250.00,150.00,60.00
Makumbura,22.50,250.00,150.00,60.00
Ganemulla,22.52,250.00,150.00,60.00
Egoda Uyana,22.57,250.00,150.00,60.00
Thudella,23.93,250.00,150.00,60.00
Hospital-Homagama,24.30,250.00,150.00,80.00
Yagoda,24.32,250.00,150.00,80.00
Kudahakapola,25.18,250.00,150.00,80.00
Panadura,26.26,300.00,150.00,80.00
Alawathupitiya,26.50,300.00,150.00,80.00
Homagama,26.51,300.00,150.00,80.00
Gampaha,27.54,300.00,150.00,80.00
Seeduwa,28.06,300.00,150.00,80.00
Panagoda,28.29,300.00,150.00,80.00
Pinwatta,29.48,300.00,150.00,80.00
Daraluwa,29.92,300.00,150.00,80.00
Liyanagemulla,30.12,300.00,150.00,80.00
Godagama,30.12,300.00,150.00,80.00
Megoda,31.64,350.00,200.00,80.00
Bemmulla,31.91,350.00,200.00,80.00
Industrial Zone,32.33,350.00,200.00,80.00
Katunayake,32.45,350.00,200.00,80.00
Wadduwa,32.47,350.00,200.00,80.00
Watareka,33.16,350.00,200.00,100.00
Airport - Katunayake,33.44,350.00,200.00,100.00
Magalegoda,34.16,350.00,200.00,100.00
Kurana,35.31,350.00,200.00,100.00
Heen - Patti,35.67,400.00,200.00,100.00
Train Holt 1,36.06,400.00,200.00,100.00
Padukka,37.18,400.00,200.00,100.00
Veyangoda,37.48,400.00,200.00,100.00
Arukwatta,38.74,400.00,200.00,100.00
Negambo,38.85,400.00,200.00,100.00
Wandurawa,39.33,400.00,200.00,100.00
Katutara North,39.88,400.00,200.00,100.00
Angampitiya,40.04,400.00,200.00,100.00
Uggalla,40.76,400.00,200.00,100.00
Keenawala,41.63,450.00,250.00,120.00
Katutara South,41.87,450.00,250.00,120.00
Pinnawala,42.05,450.00,250.00,120.00
Kattuwa,42.14,450.00,250.00,120.00
Gammana,43.10,450.00,250.00,120.00
Morakele,43.90,450.00,250.00,120.00
Pallewela,43.91,450.00,250.00,120.00
Katukurunda,44.68,450.00,250.00,120.00
Kochchikade,45.05,450.00,250.00,120.00
Ganegoda,46.21,500.00,250.00,120.00
Waga,46.30,500.00,250.00,120.00
Waikkala,46.65,500.00,250.00,120.00
Payagala North,48.05,500.00,250.00,120.00
Kadugoda,48.67,500.00,250.00,120.00
Bolawatta,48.88,500.00,250.00,120.00
Wijaya Rajadahana,49.10,500.00,250.00,120.00
Payagala South,49.26,500.00,250.00,140.00
Mirigama,50.27,500.00,250.00,140.00
Maggona,51.16,500.00,250.00,140.00
Kosgama,51.34,500.00,250.00,140.00
Boralessa,51.38,500.00,250.00,140.00
Wilwatta,52.11,550.00,300.00,140.00
Beruwala,54.33,550.00,300.00,140.00
Lunuwila,54.35,550.00,300.00,140.00
Bothale,54.43,550.00,300.00,140.00
Ambepussa,56.22,550.00,300.00,140.00
Hettimulla,56.52,550.00,300.00,140.00
Puwakpitiya,57.47,550.00,300.00,140.00
Thummodara,59.32,600.00,300.00,140.00
Aluthgama,59.67,600.00,300.00,140.00
Yattalgoda,59.85,600.00,300.00,140.00
Bentota,60.97,600.00,300.00,160.00
Avissawella,61.18,600.00,300.00,160.00
Bujjomuwa,61.87,600.00,300.00,160.00
Naththandiya,62.20,600.00,300.00,160.00
