Page,Route No,From,To,Via,Stage No,Fare (LKR),Stop Name,Note,Route_ID
1,1,Colombo,Kandy,Varakaapola,1,34.0,Maaligaavantha,,BUS_1
1,1,Colombo,Kandy,Varakaapola,2,44.0,Kaelanithissa,,BUS_1
1,1,Colombo,Kandy,Varakaapola,3,69.0,Thorana Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,4,82.0,Kaelaniya Vishva Vidyaalaya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,5,95.0,Kirkhabathgodanga,,BUS_1
1,1,Colombo,Kandy,Varakaapola,6,108.0,Manara Nandiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,7,115.0,Kadavatha,,BUS_1
1,1,Colombo,Kandy,Varakaapola,8,123.0,Gonaheena Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,9,131.0,Idiganamula Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,10,139.0,Kirllavala,,BUS_1
1,1,Colombo,Kandy,Varakaapola,11,147.0,Traekme? Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,12,155.0,Mudungoda (Pabaavii),,BUS_1
1,1,Colombo,Kandy,Varakaapola,13,163.0,Mirkvanna,,BUS_1
1,1,Colombo,Kandy,Varakaapola,14,170.0,Yakkala,,BUS_1
1,1,Colombo,Kandy,Varakaapola,15,177.0,Alangama,,BUS_1
1,1,Colombo,Kandy,Varakaapola,16,185.0,Kalagediheena,,BUS_1
1,1,Colombo,Kandy,Varakaapola,17,192.0,Nihaarya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,18,5200.0,Nittambuva Sanghakhedhi Mahaa Vidyaalaya,fare_ocr_suspect_large_jump,BUS_1
1,1,Colombo,Kandy,Varakaapola,19,207.0,Niviitambuva,fare_ocr_suspect_nonmonotonic,BUS_1
1,1,Colombo,Kandy,Varakaapola,20,215.0,Kalaleepitiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,21,223.0,Pasyaala,,BUS_1
1,1,Colombo,Kandy,Varakaapola,22,231.0,Kajugama,,BUS_1
1,1,Colombo,Kandy,Varakaapola,23,238.0,Radaavakhunna,,BUS_1
1,1,Colombo,Kandy,Varakaapola,24,246.0,Veevaeldenya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,25,253.0,Danoovita,,BUS_1
1,1,Colombo,Kandy,Varakaapola,26,261.0,Dummaladenya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,27,268.0,Varakaapola,,BUS_1
1,1,Colombo,Kandy,Varakaapola,28,276.0,Ambeepussa,,BUS_1
1,1,Colombo,Kandy,Varakaapola,29,284.0,Maaheena,,BUS_1
1,1,Colombo,Kandy,Varakaapola,30,292.0,Thoolangamuva,,BUS_1
1,1,Colombo,Kandy,Varakaapola,31,300.0,Gasnaava Vantha Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,33,315.0,Batapothaella Kandaudha,,BUS_1
1,1,Colombo,Kandy,Varakaapola,34,323.0,Siyambalaapitiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,35,331.0,Ballapona Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,36,338.0,Galigamuva,,BUS_1
1,1,Colombo,Kandy,Varakaapola,37,346.0,Ambanjitiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,38,353.0,Ranvala Handiya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,39,361.0,Kaaegalla,,BUS_1
1,1,Colombo,Kandy,Varakaapola,40,368.0,Miipiriya,,BUS_1
1,1,Colombo,Kandy,Varakaapola,41,376.0,Karandupona,,BUS_1
1,1,Colombo,Kandy,Varakaapola,42,383.0,Molagoda,,BUS_1
1,1,Colombo,Kandy,Varakaapola,43,391.0,Mangalagama,,BUS_1
1,1,Colombo,Kandy,Varakaapola,44,398.0,Uthuvankanda,,BUS_1
1,1,Colombo,Kandy,Varakaapola,45,406.0,Anvaarama,,BUS_1
1,1,Colombo,Kandy,Varakaapola,46,413.0,Maavanaella,,BUS_1
1,1,Colombo,Kandy,Varakaapola,47,421.0,Beligamiimana,,BUS_1
