id,name,description,is_active
1,Nature & Landscapes,"Natural landscapes, mountains, forests, waterfalls and scenic environments",true
2,Beaches & Coastal,"Beaches, coastal areas and seaside attractions",true
3,Wildlife & Safari,"National parks, wildlife reserves and safari experiences",true
4,Culture & Heritage,"Traditional culture, heritage sites and cultural experiences",true
5,History & Archaeology,"Historical monuments, archaeological sites and ancient cities",true
6,Religious & Spiritual,"Temples, churches, mosques, kovils and spiritual destinations",true
7,Adventure & Outdoor,"Hiking, trekking, climbing and other outdoor adventure experiences",true
8,Water & Marine Activities,"Diving, snorkeling, boating, surfing and marine experiences",true
9,Wellness & Ayurveda,"Ayurvedic treatments, wellness centres and relaxation experiences",true
10,"Tea, Agriculture & Plantation","Tea estates, plantations and agricultural tourism experiences",true
11,Food & Culinary,"Local food, restaurants, cooking experiences and culinary tourism",true
12,Shopping & Local Markets,"Markets, handicrafts, souvenirs and local shopping experiences",true
13,Entertainment & Nightlife,"Entertainment venues, nightlife and recreational activities",true
14,Festivals & Events,"Festivals, cultural events and special tourism events",true
15,Family & Recreation,"Family-friendly attractions and recreational activities",true
16,Urban & City Attractions,"City attractions, landmarks and urban tourism experiences",true
17,Photography & Scenic Spots,"Photography locations, viewpoints and scenic destinations",true
18,Educational & Learning,"Museums, educational sites and learning experiences",true
