from,to,distance_km,duration_min
colombo,dehiwala,10.5,15.2
colombo,moratuwa,19.5,26.9
colombo,negombo,36.9,35.3
colombo,gampaha,30.1,35.6
colombo,kelaniya,10.8,14.1
colombo,kalutara,42.3,56.8
colombo,panadura,27.0,38.1
colombo,horana,37.6,45.0
colombo,avissawella,45.9,58.1
colombo,wattala,8.2,11.1
colombo,homagama,22.8,31.1
colombo,maharagama,14.6,22.0
colombo,boralesgamuwa,15.1,20.8
colombo,kandy,114.4,130.6
colombo,matale,144.5,155.1
colombo,nuwara eliya,158.0,183.1
colombo,gampola,112.0,135.8
colombo,hatton,119.6,140.4
colombo,dambulla,150.4,157.0
colombo,katugastota,117.8,136.0
colombo,peradeniya,108.5,123.3
colombo,pilimathalawa,101.7,114.8
colombo,galagedara,121.1,128.5
colombo,galle,116.4,109.5
colombo,matara,153.5,134.1
colombo,hambantota,238.4,196.4
colombo,tangalle,180.5,152.5
colombo,ambalangoda,99.7,93.2
colombo,deniyaya,189.9,176.6
colombo,tissamaharama,247.3,208.0
colombo,akuressa,141.8,129.8
colombo,weligama,141.5,123.6
colombo,batapola,98.0,95.3
colombo,elipitiya,90.7,87.9
colombo,jaffna,394.4,445.7
colombo,vavuniya,254.6,282.4
colombo,mannar,287.3,330.0
colombo,kilinochchi,331.9,377.5
colombo,mullaitivu,328.6,385.6
colombo,point pedro,389.3,444.6
colombo,chavakachcheri,379.5,429.5
colombo,kayts,413.5,472.6
colombo,veldithurai,393.2,451.3
colombo,nallur,391.5,443.1
colombo,trincomalee,258.0,280.6
colombo,batticaloa,310.7,336.7
colombo,ampara,301.3,348.2
colombo,kalmunai,317.0,370.9
colombo,akkaraipattu,349.9,378.7
colombo,erei,251.0,283.2
colombo,kattankudy,316.2,343.5
colombo,mutur,265.7,293.9
colombo,valachchenai,287.6,315.8
colombo,kurunegala,94.3,98.2
colombo,puttalam,133.6,139.0
colombo,chilaw,79.9,81.1
colombo,kuliyapitiya,77.8,88.7
colombo,naththandiya,64.1,70.2
colombo,wennappuwa,55.0,55.8
colombo,madurankuliya,120.1,126.1
colombo,pannala,62.1,67.8
colombo,anuradhapura,207.3,220.0
colombo,polonnaruwa,216.1,227.8
colombo,medawachchiya,230.8,252.6
colombo,kaduruwela,218.7,233.2
colombo,kekirawa,178.3,192.0
colombo,habarana,171.6,179.7
colombo,galenbindunuwewa,236.5,267.8
colombo,talawa,188.7,201.9
colombo,badulla,212.8,235.0
colombo,bandarawela,185.1,203.8
colombo,monaragala,238.3,257.9
colombo,welimada,178.8,209.1
colombo,mahiyanganaya,190.4,224.4
colombo,haputale,168.3,201.8
colombo,ella,198.3,218.6
colombo,passara,227.0,261.7
colombo,wellawaya,191.0,207.4
colombo,ratnapura,87.3,98.9
colombo,kegalle,77.0,86.2
colombo,embilipitiya,159.1,177.3
colombo,balangoda,130.9,145.1
colombo,ruwanwella,67.1,81.5
colombo,deraniyagala,69.2,87.3
colombo,kitulgala,85.3,103.4
colombo,rakkula,116.7,131.0
dehiwala,moratuwa,9.9,13.3
dehiwala,negombo,45.3,46.6
dehiwala,gampaha,38.5,47.0
dehiwala,kelaniya,19.1,25.4
dehiwala,kalutara,32.7,43.2
dehiwala,panadura,17.4,24.5
dehiwala,horana,29.9,34.9
dehiwala,avissawella,48.0,64.8
dehiwala,wattala,16.7,22.8
dehiwala,homagama,17.2,23.4
dehiwala,maharagama,8.9,13.2
dehiwala,boralesgamuwa,7.3,10.7
dehiwala,kandy,122.7,141.9
dehiwala,matale,152.9,166.4
dehiwala,nuwara eliya,160.1,189.9
dehiwala,gampola,120.3,147.2
dehiwala,hatton,121.7,147.2
dehiwala,dambulla,158.8,168.3
dehiwala,katugastota,126.1,147.3
dehiwala,peradeniya,116.8,134.6
dehiwala,pilimathalawa,110.1,126.1
dehiwala,galagedara,129.4,139.8
dehiwala,galle,108.6,99.4
dehiwala,matara,145.8,124.0
dehiwala,hambantota,230.7,186.3
dehiwala,tangalle,172.7,142.4
dehiwala,ambalangoda,91.9,83.1
dehiwala,deniyaya,182.1,166.5
dehiwala,tissamaharama,239.6,197.9
dehiwala,akuressa,134.0,119.7
dehiwala,weligama,133.7,113.5
dehiwala,batapola,90.2,85.2
dehiwala,elipitiya,82.9,77.8
dehiwala,jaffna,402.7,457.1
dehiwala,vavuniya,262.9,293.7
dehiwala,mannar,295.7,341.4
dehiwala,kilinochchi,340.2,388.9
dehiwala,mullaitivu,337.0,396.9
dehiwala,point pedro,397.7,456.0
dehiwala,chavakachcheri,387.8,440.8
dehiwala,kayts,421.8,483.9
dehiwala,veldithurai,401.6,462.6
dehiwala,nallur,399.8,454.5
dehiwala,trincomalee,266.3,292.0
dehiwala,batticaloa,319.0,348.0
dehiwala,ampara,323.3,358.5
dehiwala,kalmunai,325.4,382.3
dehiwala,akkaraipattu,342.2,368.6
dehiwala,erei,259.4,294.5
dehiwala,kattankudy,324.5,354.8
