osm_id,code,fclass,population,name,geometry,geometry_wkt
41626831,1002,town,5000,Ella,POINT (81.0489927 6.8736058),POINT (81.048993 6.873606)
44240758,1001,city,27500,Nuwara Eliya,POINT (80.7669855 6.9739741),POINT (80.766986 6.973974)
49374844,1001,city,17900,Kegalle,POINT (80.3454132 7.2532006),POINT (80.345413 7.253201)
50414847,1003,village,5000,Talpe,POINT (80.2811795 5.9971428),POINT (80.28118 5.997143)
50416229,1010,suburb,10000,Mahamodara,POINT (80.2013241 6.0417067),POINT (80.201324 6.041707)
50416271,1010,suburb,10000,Kaluwella,POINT (80.2122467 6.0346306),POINT (80.212247 6.034631)
50416277,1010,suburb,0,Magalle,POINT (80.23748 6.0342456),POINT (80.23748 6.034246)
50416399,1003,village,5000,Koggala,POINT (80.3226304 5.9903676),POINT (80.32263 5.990368)
50769618,1002,town,15000,Mirissa,POINT (80.4558128 5.9493634),POINT (80.455813 5.949363)
50794342,1001,city,753000,Colombo,POINT (79.8542005 6.9388614),POINT (79.8542 6.938861)
51216347,1002,town,11200,Tangalle,POINT (80.7949279 6.0250847),POINT (80.794928 6.025085)
51226428,1002,town,7000,Pussellawa,POINT (80.6337679 7.110145),POINT (80.633768 7.110145)
51226438,1003,village,1500,Hakgala,POINT (80.8262591 6.92375),POINT (80.826259 6.92375)
51226446,1004,hamlet,500,Boragas,POINT (80.8407873 6.9078759),POINT (80.840787 6.907876)
51226450,1003,village,500,Keppetipola,POINT (80.8694619 6.8948998),POINT (80.869462 6.8949)
51232363,1002,town,10000,Tanamalwila,POINT (81.1302757 6.4362434),POINT (81.130276 6.436243)
51232367,1002,town,5000,Lunugamvehera,POINT (81.1961423 6.3470414),POINT (81.196142 6.347041)
51232378,1002,town,10000,Weerawila,POINT (81.2281152 6.2574968),POINT (81.228115 6.257497)
51232381,1002,town,15000,Ambalantota,POINT (81.0238588 6.1224627),POINT (81.023859 6.122463)
51232382,1003,village,5000,Nonagama,POINT (80.9921128 6.1126485),POINT (80.992113 6.112648)
51232384,1002,town,15000,Hungama,POINT (80.9320164 6.1099095),POINT (80.932016 6.10991)
51232436,1002,town,5000,Ranna,POINT (80.8751364 6.0970103),POINT (80.875136 6.09701)
51237546,1002,town,10000,Pasyala,POINT (80.1242004 7.1684426),POINT (80.1242 7.168443)
51237600,1002,town,15000,Mawanella,POINT (80.4469352 7.2523524),POINT (80.446935 7.252352)
51237603,1002,town,15000,Kadawatha,POINT (79.9512274 7.002137),POINT (79.951227 7.002137)
51245124,1010,suburb,10000,Weliwatta,POINT (80.2207475 6.0399173),POINT (80.220748 6.039917)
61522016,1003,village,1000,Monrovia,POINT (80.1580397 6.1180647),POINT (80.15804 6.118065)
61522032,1003,village,1000,Kattupol Watta,POINT (80.1667793 6.1209159),POINT (80.166779 6.120916)
61557398,1001,city,207000,Moratuwa,POINT (79.8826095 6.7746821),POINT (79.88261 6.774682)
61602698,1003,village,1000,Rajgama,POINT (80.1416237 6.0915285),POINT (80.141624 6.091528)
77369078,1002,town,15000,Dondra,POINT (80.5893555 5.9281039),POINT (80.589356 5.928104)
98593218,1002,town,15000,Akuressa,POINT (80.4764879 6.1011778),POINT (80.476488 6.101178)
102764947,1003,village,0,Kahaduwawatta,POINT (80.2145368 6.0648309),POINT (80.214537 6.064831)
129616015,1002,town,5000,Bandaragama,POINT (79.9889673 6.7145129),POINT (79.988967 6.714513)
129616333,1010,suburb,1000,Kalubowila,POINT (79.8772942 6.8664575),POINT (79.877294 6.866458)
130460965,1003,village,1000,Thalgasgoda,POINT (80.0747682 6.2473323),POINT (80.074768 6.247332)
130461056,1003,village,1000,Thalgaskanda,POINT (80.0812289 6.2487572),POINT (80.081229 6.248757)
134253719,1002,town,15000,Dehiwala,POINT (79.8659769 6.8512785),POINT (79.865977 6.851278)
198828296,1003,village,10000,Pannipitiya,POINT (79.9486254 6.8464397),POINT (79.948625 6.84644)
198828328,1002,town,15000,Nugegoda,POINT (79.8882835 6.8699688),POINT (79.888284 6.869969)
245519771,1002,town,5000,Padukka,POINT (80.0916472 6.8415384),POINT (80.091647 6.841538)
247205705,1002,town,16200,Hatton,POINT (80.5984591 6.8916333),POINT (80.598459 6.891633)
247206090,1002,town,15000,Ginigathhena,POINT (80.4941848 6.9890908),POINT (80.494185 6.989091)
247211381,1002,town,5000,Talawakele,POINT (80.661471 6.9380776),POINT (80.661471 6.938078)
247220841,1001,city,120000,Hambantota,POINT (81.1242563 6.1249126),POINT (81.124256 6.124913)
248049206,1003,village,1000,Nalagasdeniya,POINT (80.1094221 6.1403764),POINT (80.109422 6.140376)
248049211,1003,village,1000,Poddala,POINT (80.2172265 6.1157677),POINT (80.217226 6.115768)
250131587,1003,village,5000,Yayawatta,POINT (80.7354624 6.005693),POINT (80.735462 6.005693)
250131633,1003,village,5000,Yayawatta Palotha,POINT (80.748394 6.015619),POINT (80.748394 6.015619)
250132081,1003,village,1000,Akurala,POINT (80.0629238 6.192196),POINT (80.062924 6.192196)
250132087,1003,village,1000,Madampagama,POINT (80.0591135 6.214748),POINT (80.059114 6.214748)
250132108,1050,locality,1000,Polwatta Junction,POINT (80.0628985 6.2456678),POINT (80.062898 6.245668)
250132238,1003,village,1000,Urawatte,POINT (80.055321 6.2249305),POINT (80.055321 6.22493)
250132319,1003,village,1000,Peraliya,POINT (80.0899137 6.1666809),POINT (80.089914 6.166681)
250132419,1003,village,1000,Owakanda,POINT (80.1526817 6.0801537),POINT (80.152682 6.080154)
250132431,1010,suburb,1000,Dadalla,POINT (80.1922445 6.0467062),POINT (80.192244 6.046706)
250132438,1003,village,5000,Thalaramba,POINT (80.4753806 5.9398427),POINT (80.475381 5.939843)
250132444,1002,town,15000,Walgama,POINT (80.5149276 5.9424672),POINT (80.514928 5.942467)
250132486,1003,village,5000,Pamburana,POINT (80.5285454 5.9451958),POINT (80.528545 5.945196)
250132536,1003,village,5000,Kamburugamuwa,POINT (80.4942905 5.9411497),POINT (80.49429 5.94115)
250135758,1003,village,5000,Polhena,POINT (80.524231 5.9394504),POINT (80.524231 5.93945)
250730974,1002,town,15000,Pelawatte,POINT (79.9289573 6.891596),POINT (79.928957 6.891596)
250781785,1010,suburb,10000,Nawala,POINT (79.8871921 6.8869823),POINT (79.887192 6.886982)
251366138,1003,village,5000,Gandara,POINT (80.613406 5.9377157),POINT (80.613406 5.937716)
251366149,1003,village,1000,Kottagoda,POINT (80.6370242 5.9494342),POINT (80.637024 5.949434)
251844762,1003,village,5000,Pokunuwita,POINT (80.0339642 6.7260305),POINT (80.033964 6.72603)
