name,latitude,longitude,category,description,website,source,type,address,district
Rawana Ella Falls,6.8408548,81.0545278,Tourist Attraction,,,OpenStreetMap,,,
Devon Falls,6.9515033,80.6301127,Tourist Attraction,,,OpenStreetMap,,,
Sri Paadaya Peak,6.8094211,80.4993876,Mountain / Peak,,,OpenStreetMap,,,
Lotus Pond,7.9748478,81.0039995,Tourist Attraction,,,OpenStreetMap,,,
Lipton's seat,6.7806643,81.0155075,Viewpoint,,,OpenStreetMap,,,
World's End (Plate 1),6.780405,80.7944245,Viewpoint,,,OpenStreetMap,,,
Mini World's End,6.7853177,80.8003087,Viewpoint,,,OpenStreetMap,,,
Hummanaya Blow Hole,5.9776154,80.7387267,Tourist Attraction,,,OpenStreetMap,,,
Little Adam's Peak,6.86505,81.0630167,Mountain / Peak,,,OpenStreetMap,,,
Knuckles,7.4002482,80.8107259,Mountain / Peak,,,OpenStreetMap,,,
Aradhana Gala,8.3510324,80.5182896,Mountain / Peak,,,OpenStreetMap,,,
Point Pedro,9.835611,80.2121949,Viewpoint,,,OpenStreetMap,,,
Casuarina Beach,9.7623085,79.8858088,Viewpoint,,,OpenStreetMap,,,
Temple Wele pansala,6.4463338,79.9946203,Tourist Attraction,,,OpenStreetMap,,,
Ellepola Ella,6.6307993,80.6860466,Viewpoint,,,OpenStreetMap,,,
Diyaluma Falls,6.7332925,81.0314914,Viewpoint,,,OpenStreetMap,,,
Kanniya Hot Water Wells,8.6044881,81.1713144,Tourist Attraction,,,OpenStreetMap,,,
World's End (Plate 2),6.7799838,80.7940585,Viewpoint,,,OpenStreetMap,,,
Sunrise viewpoint,6.8560235,81.0530765,Viewpoint,,,OpenStreetMap,,,
Kushtarajagala Statue,5.9694792,80.4199094,Tourist Attraction,,,OpenStreetMap,,,
Manal Kadu Beach,9.7727564,80.2764737,Viewpoint,,,OpenStreetMap,,,
Daha Ata Wanguwa,7.3565682,80.9149753,Viewpoint,,,OpenStreetMap,,,
Ramboda Falls,7.0558715,80.6990648,Viewpoint,,,OpenStreetMap,,,
Chithithavisuddi Cave,7.3045022,80.6434106,Cave,,,OpenStreetMap,,,
Audience Hall,7.9560209,80.7585222,Tourist Attraction,,,OpenStreetMap,,,
Cave Inscriptions,7.9680888,80.7610523,Cave,,,OpenStreetMap,,,
Cobra Hood Cave,7.9562783,80.7582684,Cave,,,OpenStreetMap,,,
Pidurangala Vihara,7.9658517,80.7623997,Tourist Attraction,,,OpenStreetMap,,,
Sunrise viewpoint,7.9666513,80.7623515,Viewpoint,,,OpenStreetMap,,,
Pidurutalagala,7.0009508,80.7736523,Mountain / Peak,,,OpenStreetMap,,,
Thummodara Ranmudu Ella,6.8647276,80.1708905,Tourist Attraction,,,OpenStreetMap,,,
Ella Uda Ella,6.8899887,80.1766836,Tourist Attraction,,,OpenStreetMap,,,
Wangu 10,6.4655993,80.6287085,Viewpoint,,,OpenStreetMap,,,
Hathmale Ella,6.3319645,80.5061691,Viewpoint,,,OpenStreetMap,,,
Thudugala Ella,6.570697,80.0584269,Tourist Attraction,,,OpenStreetMap,,,
Devanagala Temple,7.2202077,80.4688983,Viewpoint,,,OpenStreetMap,,,
Bible Rock,7.1895698,80.434277,Viewpoint,,,OpenStreetMap,,,
Kanneliya Rainforest Reserve,6.2510037,80.3379577,Viewpoint,,,OpenStreetMap,,,
Bopath Falls,6.8006004,80.3666596,Tourist Attraction,,,OpenStreetMap,,,
Mulawella,6.4241104,80.4271476,Mountain / Peak,,,OpenStreetMap,,,
Popham's Arboretum,7.8608104,80.6758588,Tourist Attraction,,,OpenStreetMap,,,
Rawana Ella Cave,6.8643793,81.0485407,Cave,,,OpenStreetMap,,,
Pidurangala Rock Viewpoint,7.957308,80.7600766,Viewpoint,,,OpenStreetMap,,,
Kosgoda Sea Turtle Conservation Project,6.3274734,80.0318424,Tourist Attraction,,,OpenStreetMap,,,
Dambadeniya Anciant Kingdom Rock,7.3628689,80.1551696,Tourist Attraction,,,OpenStreetMap,,,
Thimmagama Kanda,7.5807185,80.2568826,Mountain / Peak,,,OpenStreetMap,,,
Cruel elephant rides,7.9518339,80.7575474,Tourist Attraction,,,OpenStreetMap,,,
Puna Ella Falls,7.0470584,80.6956007,Tourist Attraction,,,OpenStreetMap,,,
Lover's Leap Waterfall,6.9784844,80.7867203,Tourist Attraction,,,OpenStreetMap,,,
Eagle Rock,6.7625011,80.9806723,Viewpoint,,,OpenStreetMap,,,
Dunhinda Falls,7.0169435,81.063492,Tourist Attraction,,,OpenStreetMap,,,
Kadugannawa Ambalama,7.2528577,80.4973119,Tourist Attraction,,,OpenStreetMap,,,
Kengalla Ambalama,7.291799,80.721326,Tourist Attraction,,,OpenStreetMap,,,
Hunnasgiri Ella,7.4017036,80.6897795,Tourist Attraction,,,OpenStreetMap,,,
Kodimale Peak,7.2986617,80.6444121,Mountain / Peak,,,OpenStreetMap,,,
Charty Beach,9.6331561,79.9198682,Viewpoint,,,OpenStreetMap,,,
Kananke Bridge,6.041543,80.4082151,Tourist Attraction,,,OpenStreetMap,,,
Elephant bathing place,7.3005836,80.3841891,Tourist Attraction,,,OpenStreetMap,,,
Ella Spice Garden,6.8740364,81.0494507,Tourist Attraction,,,OpenStreetMap,,,
Bopath Ella,6.8017623,80.3692116,Viewpoint,,,OpenStreetMap,,,
Dooli Ella Waterfall,6.3919677,80.392724,Tourist Attraction,,,OpenStreetMap,,,
Mountain Peak Kalubovitiyana,6.330639,80.4089888,Mountain / Peak,,,OpenStreetMap,,,
Makeliya Water Fall,6.6057951,80.2816914,Tourist Attraction,,,OpenStreetMap,,,
Jaya Sri Maha Bodhi,8.3447103,80.3972255,Tourist Attraction,,,OpenStreetMap,,,
Ritigala,8.1090191,80.6568395,Mountain / Peak,,,OpenStreetMap,,,
Duli ella,6.4005822,80.7142063,Tourist Attraction,,,OpenStreetMap,,,
Belum Gala,6.9534372,80.2432033,Mountain / Peak,,,OpenStreetMap,,,
Duwili Ella,6.4393538,80.4081589,Tourist Attraction,,,OpenStreetMap,,,
Bomburu Ella Waterfall,6.9470599,80.8307743,Tourist Attraction,,,OpenStreetMap,,,
Hunnasgiriya,7.388718,80.6992441,Mountain / Peak,,,OpenStreetMap,,,
Bogoda Wooden Bridge,7.0079106,80.9963053,Viewpoint,,,OpenStreetMap,,,
Sorabora Wewa,7.3614175,81.0058211,Viewpoint,,,OpenStreetMap,,,
Union of two rivers,6.9158121,80.9546795,Tourist Attraction,,,OpenStreetMap,,,
Haththikuchchi Ruins,8.0614923,80.2459605,Tourist Attraction,,,OpenStreetMap,,,
Sigiriya viewpoint,7.9656168,80.7618517,Viewpoint,,,OpenStreetMap,,,
Wawulgala Kanda,6.0115949,80.7059334,Mountain / Peak,,,OpenStreetMap,,,
Public Beach,7.2243994,81.8620623,Beach,,,OpenStreetMap,,,
Public Beach,7.2497306,81.8640579,Beach,,,OpenStreetMap,,,
Public Beach,7.290928,81.8673946,Beach,,,OpenStreetMap,,,
Sigiriya Reservoir Viewpoint,7.9560027,80.7597243,Viewpoint,,,OpenStreetMap,,,
Gen. Kobbekaduwa Memorial. Arali,9.6715993,79.925188,Viewpoint,,,OpenStreetMap,,,
Govinda Hela,7.0353252,81.5463087,Mountain / Peak,,,OpenStreetMap,,,
Maragala Kanda,6.8685474,81.388639,Mountain / Peak,,,OpenStreetMap,,,
Terrrorist Bulldozer,9.5019865,80.4063655,Viewpoint,,,OpenStreetMap,,,
Kondadeniya Rajamaha Viharaya,7.8040061,80.3042266,Viewpoint,,,OpenStreetMap,,,
Ancient Stone Bridge,8.3985706,80.4058616,Tourist Attraction,,,OpenStreetMap,,,
Palace of King Parakramabahu II,7.3631276,80.1550468,Tourist Attraction,,,OpenStreetMap,,,
Waterfall,6.8329061,81.0501314,Tourist Attraction,,,OpenStreetMap,,,
railway station,6.9284655,79.8648826,Viewpoint,,,OpenStreetMap,,,
Riverston,7.5245225,80.7338588,Viewpoint,,,OpenStreetMap,,,
'Soda Bottle' Curve,6.9598313,80.6604328,Viewpoint,,,OpenStreetMap,,,
Demodera Railway Spiral,6.9023894,81.061171,Tourist Attraction,,,OpenStreetMap,,,
Rozella 'Double Curve',6.9356302,80.5554459,Viewpoint,,,OpenStreetMap,,,
Kavisanan complex ,8.7632016,80.4841019,Viewpoint,,,OpenStreetMap,,,
