osm_id,code,fclass,name,layer,bridge,tunnel,geometry,geometry_wkt
6504048,6101,rail,Coastal Line,0,F,F,"LINESTRING (80.2175191 6.0419411, 80.2174403 6.0418898, 80.2170448 6.0417149, 80.2160728 6.0411408, 80.2154349 6.0407481, 80.2151873 6.040591, 80.2150861 6.0404898, 80.2149622 6.0403693, 80.2148215 6.0402002, 80.2146405 6.0399307, 80.214529 6.0397278, 80.214433 6.039473)","LINESTRING (80.217519 6.041941, 80.21744 6.04189, 80.217045 6.041715, 80.216073 6.041141, 80.215435 6.040748, 80.215187 6.040591, 80.215086 6.04049, 80.214962 6.040369, 80.214822 6.0402, 80.21464 6.039931, 80.214529 6.039728, 80.214433 6.039473)"
6504056,6101,rail,Coastal Line,0,F,F,"LINESTRING (80.2143332 6.0334776, 80.214293 6.0337403, 80.2142474 6.0340457, 80.2141964 6.0344072, 80.2141428 6.0348726, 80.2141216 6.0352624, 80.2141106 6.0354661, 80.2141074 6.0356529, 80.2141052 6.0357835, 80.2141334 6.0360569, 80.2142104 6.0364009, 80.2142581 6.0365717, 80.2143349 6.0369127, 80.2144231 6.0372699, 80.214462 6.0374904, 80.2144553 6.0376993, 80.2144258 6.0378718, 80.2143654 6.0381034, 80.2142633 6.0384309, 80.2141005 6.0389376, 80.2139758 6.0393377)","LINESTRING (80.214333 6.033478, 80.214293 6.03374, 80.214247 6.034046, 80.214196 6.034407, 80.214143 6.034873, 80.214122 6.035262, 80.214111 6.035466, 80.214107 6.035653, 80.214105 6.035784, 80.214133 6.036057, 80.21421 6.036401, 80.214258 6.036572, 80.214335 6.036913, 80.214423 6.03727, 80.214462 6.03749, 80.214455 6.037699, 80.214426 6.037872, 80.214365 6.038103, 80.214263 6.038431, 80.2141 6.038938, 80.213976 6.039338)"
8072149,6101,rail,Coastal Line,0,F,F,"LINESTRING (80.2390141 6.0342178, 80.2387993 6.0344869, 80.2383979 6.0349837, 80.2380522 6.0353937, 80.237722 6.035808, 80.2374675 6.0361018, 80.237204 6.0364558, 80.2369878 6.0367303, 80.2367708 6.0370127, 80.2364495 6.0373902, 80.2363389 6.0375386, 80.2362248 6.0376723, 80.2360317 6.0378846, 80.2357827 6.0381, 80.2356511 6.0382104, 80.2354169 6.0383591, 80.234939 6.0385741, 80.2348499 6.0386037, 80.2346203 6.0386816, 80.234393 6.0387384, 80.2338937 6.0388642, 80.2331374 6.0390307, 80.232346 6.039208, 80.2321451 6.0392527, 80.2318983 6.0392952)","LINESTRING (80.239014 6.034218, 80.238799 6.034487, 80.238398 6.034984, 80.238052 6.035394, 80.237722 6.035808, 80.237468 6.036102, 80.237204 6.036456, 80.236988 6.03673, 80.236771 6.037013, 80.23645 6.03739, 80.236339 6.037539, 80.236225 6.037672, 80.236032 6.037885, 80.235783 6.0381, 80.235651 6.03821, 80.235417 6.038359, 80.234939 6.038574, 80.23485 6.038604, 80.23462 6.038682, 80.234393 6.038738, 80.233894 6.038864, 80.233137 6.039031, 80.232346 6.039208, 80.232145 6.039253, 80.231898 6.039295)"
8072150,6101,rail,Coastal Line,-1,F,T,"LINESTRING (80.2184464 6.0421605, 80.2182523 6.0421481, 80.2180642 6.0421117, 80.2175191 6.0419411)","LINESTRING (80.218446 6.04216, 80.218252 6.042148, 80.218064 6.042112, 80.217519 6.041941)"
8873168,6101,rail,Coastal Line,0,F,F,"LINESTRING (80.1950688 6.0538425, 80.1946243 6.0536804, 80.1943165 6.0535906, 80.1940342 6.0535351, 80.193714 6.0534911, 80.1933315 6.0534937, 80.1929408 6.0535174, 80.1928146 6.0535269, 80.1924462 6.0535596, 80.1923642 6.0535677, 80.190995 6.0536844, 80.1894902 6.0538127, 80.1889568 6.0538565, 80.1884957 6.0539061, 80.1881613 6.053968, 80.1878624 6.0540512, 80.1876151 6.0541475, 80.187343 6.0542748, 80.18708 6.0544175, 80.186866 6.0545633, 80.1866321 6.0547604, 80.1863831 6.0549947, 80.1856061 6.0559388, 80.185009 6.0567071, 80.1848637 6.0568491, 80.1846706 6.0570025, 80.1838834 6.0575986, 80.1836312 6.0577953, 80.1833931 6.0579605, 80.1831243 6.0581127, 80.1829055 6.058216, 80.1827314 6.0582774, 80.1824831 6.0583473, 80.1824377 6.0583588, 80.1821761 6.0584341, 80.1818341 6.0585618, 80.1814922 6.0587168, 80.181138 6.0589332, 80.180835 6.0591636, 80.1804847 6.0595046, 80.179911 6.0601831, 80.1794464 6.0607181, 80.1790058 6.0612254, 80.1788051 6.0614163, 80.1783416 6.0618145)","LINESTRING (80.195069 6.053842, 80.194624 6.05368, 80.194316 6.053591, 80.194034 6.053535, 80.193714 6.053491, 80.193332 6.053494, 80.192941 6.053517, 80.192815 6.053527, 80.192446 6.05356, 80.192364 6.053568, 80.190995 6.053684, 80.18949 6.053813, 80.188957 6.053856, 80.188496 6.053906, 80.188161 6.053968, 80.187862 6.054051, 80.187615 6.054148, 80.187343 6.054275, 80.18708 6.054418, 80.186866 6.054563, 80.186632 6.05476, 80.186383 6.054995, 80.185606 6.055939, 80.185009 6.056707, 80.184864 6.056849, 80.184671 6.057002, 80.183883 6.057599, 80.183631 6.057795, 80.183393 6.05796, 80.183124 6.058113, 80.182906 6.058216, 80.182731 6.058277, 80.182483 6.058347, 80.182438 6.058359, 80.182176 6.058434, 80.181834 6.058562, 80.181492 6.058717, 80.181138 6.058933, 80.180835 6.059164, 80.180485 6.059505, 80.179911 6.060183, 80.179446 6.060718, 80.179006 6.061225, 80.178805 6.061416, 80.178342 6.061814)"
8873169,6101,rail,Coastal Line,1,T,F,"LINESTRING (80.1953004 6.0539289, 80.1952037 6.0538948, 80.1950688 6.0538425)","LINESTRING (80.1953 6.053929, 80.195204 6.053895, 80.195069 6.053842)"
10548401,6101,rail,,0,F,F,"LINESTRING (79.8539164 6.932833, 79.8537478 6.9328874, 79.8536102 6.9329321, 79.8531357 6.9330806, 79.852597 6.933181, 79.8523196 6.9332293, 79.8522932 6.9332339)","LINESTRING (79.853916 6.932833, 79.853748 6.932887, 79.85361 6.932932, 79.853136 6.933081, 79.852597 6.933181, 79.85232 6.933229, 79.852293 6.933234)"
19314656,6101,rail,Coastal Line,1,T,F,"LINESTRING (80.2140008 6.0393446, 80.2139632 6.0394578)","LINESTRING (80.214001 6.039345, 80.213963 6.039458)"
19314659,6101,rail,Coastal Line,0,F,F,"LINESTRING (80.2143995 6.0381458, 80.2144633 6.03787, 80.2144874 6.0377007, 80.2144928 6.0374873, 80.2144553 6.0372619, 80.2143686 6.0369067, 80.2143369 6.0367719, 80.2142755 6.0365117, 80.2142085 6.0362743, 80.214159 6.0360492, 80.2141361 6.0357862, 80.2141414 6.0354728, 80.2141843 6.0347699, 80.2142286 6.0344165, 80.2142849 6.0340564, 80.2143307 6.0337519, 80.2143753 6.0334858)","LINESTRING (80.2144 6.038146, 80.214463 6.03787, 80.214487 6.037701, 80.214493 6.037487, 80.214455 6.037262, 80.214369 6.036907, 80.214337 6.036772, 80.214276 6.036512, 80.214208 6.036274, 80.214159 6.036049, 80.214136 6.035786, 80.214141 6.035473, 80.214184 6.03477, 80.214229 6.034416, 80.214285 6.034056, 80.214331 6.033752, 80.214375 6.033486)"
19314680,6101,rail,Coastal Line,1,T,F,"LINESTRING (80.214433 6.039473, 80.2143863 6.0393341)","LINESTRING (80.214433 6.039473, 80.214386 6.039334)"
